,headline,url
0,Casado habla de “pucherazo” en la votación y Lastra acusa al PP de comprar a los diputados de UPN,/espana/2022-02-04/casado-cuestiona-la-legitimidad-de-la-votacion-del-congreso-sobre-la-reforma-laboral.html
1,La votación telemática requiere una doble confirmación,/espana/2022-02-04/la-votacion-telematica-requiere-una-doble-confirmacion.html
2,Las tres propuestas que ERC rechazó para modificar la reforma,/espana/catalunya/2022-02-04/las-tres-propuestas-que-erc-rechazo-para-modificar-la-reforma-laboral.html
3,Cronología del voto del diputado del PP Alberto Casero: un error contado paso a paso,/espana/2022-02-04/cronologia-del-voto-pifiado-del-diputado-del-pp-alberto-casero-un-error-contado-paso-a-paso.html?autoplay=1
4,Casero denuncia la “vulneración” de su derecho al voto en una carta a Batet,/espana/2022-02-04/el-diputado-del-pp-que-salvo-la-reforma-laboral-el-voto-recogido-por-el-sistema-no-expresaba-mi-voluntad.html
5,Bolaños reprocha al PP usar “todo tipo de artes” para tumbar la nueva norma,/espana/2022-02-04/la-votacion-de-la-reforma-laboral.html
6,Reforma de infarto,https://elpais.com/opinion/editoriales/
7,"Esperpento valleinclanesco, versión Congreso de los Diputados",/espana/2022-02-03/esperpento-valleinclanesco-version-congreso-de-los-diputados.html
8,Cuatro días de enero (lo malo de acostumbrarse a la muerte),/opinion/2022-02-04/cuatro-dias-de-enero-lo-malo-de-acostumbrarse-a-la-muerte.html
9,Sin libertad de expresión no hay libertad de elección,/opinion/2022-02-04/sin-libertad-de-expresion-no-hay-libertad-de-eleccion.html
10,Tuitea en cristiano,/opinion/2022-02-04/tuitea-en-cristiano.html
11,La Constitución no es el Código de Hammurabi,/opinion/2022-02-04/la-constitucion-no-es-el-codigo-de-hammurabi.html
12,La mascarilla en exteriores dejará de ser obligatoria desde el próximo jueves,/sociedad/2022-02-04/la-mascarilla-en-exteriores-dejara-de-ser-obligatoria-desde-el-proximo-jueves.html
13,"Si me he contagiado ya de la ómicron, ¿puedo reinfectarme?",/ciencia/las-cientificas-responden/2022-02-04/si-me-he-contagiado-ya-de-omicron-puedo-reinfectarme.html
14,China y Rusia expresan su apoyo mutuo en política internacional y rechazan una ampliación de la OTAN,/internacional/2022-02-04/china-y-rusia-expresan-su-apoyo-mutuo-en-politica-internacional-y-rechazan-una-nueva-ampliacion-de-la-otan.html
15,"Puerta 8, la barriada de Buenos Aires donde la cocaína adulterada mató a 23 personas",/internacional/2022-02-04/puerta-8-la-barriada-de-buenos-aires-donde-la-cocaina-adulterada-mato-a-al-menos-23-personas.html
16,La materia Historia de España no mencionará en Cataluña la Constitución de 1978,/educacion/2022-02-04/historia-de-espana-ensenara-en-cataluna-el-actual-contexto-de-involucion-de-algunos-derechos-humanos.html
17,Todo se hizo mal en la residencia catalana de Tremp donde murieron 64 ancianos en un mes,/espana/catalunya/2022-02-04/todo-se-hizo-mal-en-la-residencia-de-tremp-donde-murieron-varios-ancianos-en-un-mes.html
